Subject,BrainVolumes
IXI526-HH-2392,1104619.23613463
IXI527-HH-2376,1885105.31964049
IXI528-Guys-1073,1753661.82660711
IXI531-Guys-1057,1594226.92773747
IXI532-IOP-1145,1549770.54590515
IXI533-Guys-1066,1251164.35728134
IXI534-Guys-1062,1327355.78065552
IXI535-Guys-1061,1411882.1001855
IXI536-Guys-1059,1278937.69759841
IXI537-HH-2378,1480592.46956399
IXI538-HH-2411,1434552.41585093
IXI539-Guys-1067,1252653.14016491
IXI541-IOP-1146,1396275.76835716
IXI542-IOP-1147,1168153.46819603
IXI543-IOP-1148,1474093.60563214
IXI544-HH-2395,1276033.25459228
IXI546-HH-2450,1257417.83242766
IXI547-IOP-1149,1326278.24928393
IXI548-IOP-1150,1097978.52676478
IXI549-Guys-1046,1673513.84486184
IXI550-Guys-1069,1363034.96552906
IXI551-Guys-1065,1453250.00991561
IXI552-Guys-1063,1381258.01667706
IXI553-IOP-1151,1667779.14924336
IXI554-Guys-1068,1467613.53488022
IXI555-Guys-1074,1240767.64057972
IXI556-HH-2452,1569040.7730632
IXI558-Guys-1079,1363066.44966602
IXI559-HH-2394,1235826.12609894
IXI560-Guys-1070,1637707.44349638
IXI561-IOP-1152,1251388.24186247
IXI562-Guys-1131,1391337.41117336
IXI563-IOP-1153,1344800.08365948
IXI565-HH-2534,1493311.29353307
IXI566-HH-2535,1300320.07295529
IXI567-HH-2536,1377160.56610818
IXI568-HH-2607,1254454.77849841
IXI569-Guys-1101,1636427.14796704
IXI571-IOP-1154,1419553.08304676
IXI572-HH-2605,1313522.07598567
IXI573-IOP-1155,1240155.38745158
IXI574-IOP-1156,1466625.55294435
IXI575-HH-2658,1375647.18483388
IXI576-Guys-1077,1301827.11101555
IXI577-HH-2661,1338262.79934001
IXI578-Guys-1078,1521125.65767858
IXI579-Guys-1126,1458279.24278324
IXI582-Guys-1127,1558015.18869682
IXI584-Guys-1129,1772257.03337509
IXI585-Guys-1130,1510599.87250522
IXI586-HH-2451,1723350.18371637
IXI587-Guys-1128,1761424.54548888
IXI588-IOP-1158,1379384.94901991
IXI589-Guys-1080,1597269.23318566
IXI591-Guys-1084,1270282.25293569
IXI592-Guys-1085,1649690.99361508
IXI593-Guys-1109,1251203.80668609
IXI594-Guys-1089,1435804.33138695
IXI595-IOP-1159,1492143.40292794
IXI596-IOP-1160,1443987.63774367
IXI597-IOP-1161,1219339.98926438
IXI598-HH-2606,1348361.68825569
IXI599-HH-2659,1667300.49883561
IXI600-HH-2660,1555235.65944729
IXI601-HH-2700,1400932.78970886
IXI603-HH-2701,1480953.81335135
IXI605-HH-2598,1240961.5519591
IXI606-HH-2601,1434125.55108606
IXI607-Guys-1097,1472025.65648232
IXI608-HH-2599,1585396.39610262
IXI609-HH-2600,1506396.2416491
IXI610-HH-2649,1459074.62426845
IXI611-HH-2650,1663293.51488926
IXI612-HH-2688,1453687.45354638
IXI613-HH-2734,1700711.71802119
IXI614-HH-2735,1653872.13915973
IXI616-Guys-1092,1433451.80018221
IXI617-Guys-1090,1632784.90528353
IXI618-Guys-1091,1461047.78557692
IXI619-Guys-1099,1680858.36564722
IXI621-Guys-1100,1355244.22936533
IXI622-Guys-1102,1636571.30672336
IXI623-Guys-1076,1756485.11173563
IXI625-Guys-1098,1545695.47205048
IXI626-Guys-1094,1593431.00718556
IXI627-Guys-1103,1348437.15590076
IXI629-Guys-1095,1496557.09773571
IXI630-Guys-1108,1461260.3103596
IXI631-HH-2651,1379122.01872543
