Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0462,560.7,541.37,631.35,574.402,319.5,354.017,344.7,351.725,1176.75,847.544,1293.75,954.431,2892.15,1667.78,3327.3,1791.84,531.45,665.185,663.3,706.824,2074.05,1845.61,1943.55,1801.08,873,894.398,1007.55,935.912
sub-0463,512.55,496.591,568.8,555.231,215.1,246.604,279,340.91,2039.85,1147.62,1703.7,1116.56,3118.05,1814.02,2400.3,1449.38,512.55,584.055,640.35,676.396,1633.05,1445.06,1718.55,1490.89,811.35,796.011,792,776.896
sub-0464,507.6,518.669,503.55,494.933,279,354.779,361.35,389.019,1110.6,784.125,1181.25,847.419,2795.85,1723.77,3078.45,1737.14,692.55,721.159,719.1,728.458,1731.15,1628.12,1678.95,1555.1,860.4,893.986,875.25,866.28
sub-0467,543.6,523.557,470.7,459.162,234.45,265.139,269.55,293.142,1610.55,930.179,1835.1,1067.63,2486.7,1532.46,2191.05,1378.56,549.45,606.264,616.5,656.209,1449.45,1428.54,1424.25,1367,764.55,776.509,784.8,732.765
sub-0469,516.6,524.57,563.85,566.156,228.6,283.868,337.5,401.565,1850.4,1036.68,1688.85,1007.16,2652.75,1708.61,2452.5,1524.72,511.65,567.161,780.75,750.338,1505.25,1400.24,1827,1574.2,775.8,708.07,739.8,693.883
sub-0473,693,578.916,648.45,575.359,322.65,355.655,315,337.51,1561.5,880.588,1845,1027.74,2607.75,1576.56,2595.15,1537.04,566.55,617.475,707.4,696.833,1989,1757.24,1983.15,1739.59,1006.65,939.338,1034.55,872.977
sub-0475,647.55,567.41,636.75,586.971,321.75,371.417,354.6,380.945,1758.15,1002.79,1831.5,1094.06,3258,1814.43,2979,1735.55,734.85,714.068,894.15,792.336,1830.6,1631.55,1891.8,1643.3,854.1,809.517,787.05,748.794
sub-0476,559.35,542.527,442.35,482.015,296.1,353.743,333,348.804,1259.1,843.759,1291.5,925.014,2335.5,1475.69,2076.75,1332.13,518.85,600.23,620.55,680.571,1581.75,1447.28,1542.6,1398.4,757.35,781.051,718.2,703.932
sub-0477,572.85,506.084,537.75,508.947,302.85,333.794,315.45,368.784,1599.75,966.962,1583.1,1046.99,2818.8,1542.46,2550.6,1535.06,423,494.863,496.35,559.903,1522.35,1350.46,1631.25,1468.67,860.85,794.064,848.7,726.233
sub-0480,676.35,644.107,685.35,601.416,316.35,336.92,337.05,379.534,1927.35,1098.66,2232,1247.74,3115.8,1696.34,3355.65,1880.74,607.5,679.816,715.95,719.722,1666.8,1538.95,1775.25,1568.69,913.95,889.409,835.65,816.048
sub-0486,697.05,616.175,695.25,612.397,299.25,323.734,391.05,391.625,2096.55,1109.14,1767.6,1078.85,2995.2,1695.8,3171.15,1758.72,566.55,611.257,686.25,683.286,1696.95,1490.75,1739.7,1524.2,902.25,846.843,878.4,779.048
sub-0487,531,484.635,583,500.554,374,369.23,471,441.537,1249,823.392,1291,804.866,2389,1364.58,2376,1410.09,654,673.246,706,690.97,1866,1582.05,1795,1555.68,941,882.94,946,821.329
sub-0488,619,532.26,631,545.094,312,354.508,344,348.639,610,539.332,1633,1001.95,2435,1437.98,2423,1470.23,521,576.336,601,628.526,1535,1428.04,1593,1436.33,887,909.131,810,789.75
sub-0489,738,623.586,723,577.304,359,372.378,411,401.239,2184,1128.65,2200,1170.92,2951,1663.02,2750,1611.9,591,587.994,741,670.83,1760,1477.39,1839,1505.75,990,890.997,754,727.343
sub-0490,619,538.81,720,611.525,425,397.287,387,390.162,1113,734.611,1460,945.792,3458,1732.32,3545,1821.4,726,726.576,827,769.927,1914,1684.05,1948,1676.19,969,927.394,886,859.487
sub-0491,586,546.699,590,519.927,310,347.622,445,442.112,2269,1290.69,2299,1138.72,3652,1960.63,3782,1944.62,729,716.821,834,762.243,2186,1833.86,2140,1730.2,858,835.72,907,807.22
sub-0492,556,514.155,664,589.375,365,386.411,412,409.795,1204,862.664,1577,1123.36,2937,1602.11,3212,1746.45,621,666.735,739,739.139,1970,1655.17,2154,1717.66,905,884.645,975,918.166
sub-0493,684,614.479,648,598.91,418,424.588,437,425.447,1341,851.232,1626,1006.66,3076,1723.75,2923,1538.4,835,816.07,797,774.063,2120,1862.59,2037,1695.69,1152,1124.9,1163,1011.05
sub-0494,628,530.472,696,584.537,358,346.383,365,356.059,1313,850.613,1101,744.405,2696,1523.41,2706,1478.45,488,522.74,537,590.368,1378,1285.54,1529,1324.15,830,775.238,833,767.645
sub-0495,552,475.135,466,431.014,234,256.124,317,327.182,2548,1195.2,2519,1289.56,2802,1556.95,2739,1502.16,709,679.856,713,671.662,1773,1546.68,1868,1589.93,621,651.569,721,687.866
sub-0496,660,590.345,569,540.559,331,365.32,436,432.47,1152,796.938,1138,839.005,3495,1884,2984,1643.96,625,677.84,803,762.245,1991,1752.71,1858,1604.97,1151,1058.5,1139,975.102
sub-0497,658,550.889,562,516.922,340,357.937,385,378.741,2355,1289.03,2685,1297.89,3672,1868.07,3643,1897.91,669,701.357,817,771.782,1869,1694.59,1788,1582.73,741,798.49,799,788.961
sub-0498,559,509.087,638,579.626,380,393.796,385,389.71,1371,837.828,1357,870.113,2238,1402.01,2629,1475.29,701,685.857,794,741.89,1738,1582.54,1777,1542.98,956,891.233,974,866.727
